user_id	post_name	u_interactions_f	u_text_f	u_sentiment_c	u_sentiment_f	u_topic_c	u_topic_o
42	30563	4	90	2	1.0	23	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.77091366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
43	7720	3	120	2	0.896	33	[0.03737999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09212604, 0.0, 0.68329859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
44	13041	3	55	0	0.0	12	[0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.25018114, 0.2380092, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248318, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316, 0.01248316]
45	1985	11	118	2	0.877	29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.78118551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
46	8118	3	136	0	0.0	7	[0.0, 0.0, 0.12033497, 0.0, 0.0, 0.0, 0.0, 0.6755805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
47	5460	3	100	2	0.817	34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12788765, 0.0, 0.0, 0.0, 0.09592059, 0.0, 0.15578613, 0.0, 0.0, 0.0, 0.10637046, 0.08584119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20802638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
48	6869	3	135	2	0.881	34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14356557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.65576589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
49	2578	4	67	2	1.0	40	[0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.19115798, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.01498028, 0.19465047, 0.01498028, 0.01498028]
50	30304	3	67	2	1.0	29	[0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.33860132, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759, 0.01574759]
51	41886	3	127	2	0.688	41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06148569, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18436526, 0.05581414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07051142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39368099, 0.0]
